epoch,loss,forward_total_time,backward_total_time,forward_mean_time,backward_mean_time,backward_mean_iter,backward_mean_relres
1,8.84677360115176,0.1905456,0.0200863,0.003810912,0.000401726,14.58,6.16717631191789e-05
2,8.19810835570492,0.1808828,0.0104351,0.003617656,0.000208702,13.92,6.55232190414472e-05
3,7.62682401560001,0.1684011,0.0096368,0.003368022,0.000192736,13.62,6.02962311062548e-05
4,7.10117713745582,0.1870566,0.0098832,0.003741132,0.000197664,13.46,5.45447876216306e-05
5,6.60861027231678,0.192466,0.0100296,0.00384932,0.000200592,13.3,5.61288445226206e-05
6,6.15088855949834,0.1817736,0.0096093,0.003635472,0.000192186,13.24,5.58062901958191e-05
7,5.7295379697388,0.1884014,0.0110051,0.003768028,0.000220102,13.28,5.5119235817059e-05
8,5.34756642396846,0.1755715,0.0096494,0.00351143,0.000192988,13.08,6.23275189919892e-05
9,4.97723688923768,0.1707738,0.0092919,0.003415476,0.000185838,13.2,5.99273236270228e-05
10,4.60376995892625,0.1707942,0.0096146,0.003415884,0.000192292,13.32,5.6222432242184e-05
11,4.23750796094481,0.1877686,0.0099266,0.003755372,0.000198532,13.42,5.72809182783366e-05
12,3.89444093188159,0.1835093,0.0105253,0.003670186,0.000210506,13.46,5.46423670425599e-05
13,3.58372228340904,0.2090027,0.0141327,0.004180054,0.000282654,13.48,5.62293721390609e-05
14,3.30200709230729,0.189744,0.0102027,0.00379488,0.000204054,13.62,5.59362688916786e-05
15,3.04790675017684,0.2234209,0.0105718,0.004468418,0.000211436,13.68,6.03368456228974e-05
16,2.81198370035824,0.2089259,0.0098949,0.004178518,0.000197898,13.98,5.83917977933934e-05
17,2.58687822284053,0.2540447,0.0121558,0.005080894,0.000243116,14.26,5.7323800435509e-05
18,2.36203330841118,0.2224121,0.0103241,0.004448242,0.000206482,14.52,5.93736423758072e-05
19,2.15820156711933,0.2318062,0.010024,0.004636124,0.00020048,14.7,6.41887814437003e-05
20,1.97472464366356,0.218993,0.0106854,0.00437986,0.000213708,15.04,6.005427065407e-05
21,1.81149599617777,0.2445179,0.0143198,0.004890358,0.000286396,15.22,6.13873800584395e-05
22,1.66476252085101,0.2529818,0.011522,0.005059636,0.00023044,15.52,5.64349792004056e-05
23,1.53998317843055,0.2369753,0.0109856,0.004739506,0.000219712,15.62,5.99251795766266e-05
24,1.43304377841097,0.2589098,0.0108964,0.005178196,0.000217928,15.8,6.33949942527176e-05
25,1.34258718388693,0.2703881,0.0110442,0.005407762,0.000220884,15.84,6.16533404665059e-05
26,1.25688112195886,0.261417,0.0104243,0.00522834,0.000208486,16.06,5.93439688943849e-05
27,1.17192912128361,0.2639759,0.0112079,0.005279518,0.000224158,16.14,5.58746614057963e-05
28,1.09443740642476,0.295454,0.0108352,0.00590908,0.000216704,16.16,5.75686227012757e-05
29,1.02284525157363,0.2826955,0.0127974,0.00565391,0.000255948,16.08,6.17212310629353e-05
30,0.961441700204762,0.2654859,0.0112062,0.005309718,0.000224124,16.1,6.32310650403566e-05
31,0.909521320435223,0.2800799,0.0105837,0.005601598,0.000211674,16.24,6.01577509222481e-05
32,0.863323150745262,0.3139882,0.0145414,0.006279764,0.000290828,16.1,6.63877794335516e-05
33,0.823573217516458,0.2772497,0.0121143,0.005544994,0.000242286,16.08,6.48564060574754e-05
34,0.79004232677297,0.27255,0.0115569,0.005451,0.000231138,16.12,6.0686185147622e-05
35,0.757245894221138,0.3029944,0.0110135,0.006059888,0.00022027,16.16,5.8616246157986e-05
36,0.729681811327158,0.2786652,0.0109099,0.005573304,0.000218198,16.08,6.06218194830829e-05
37,0.705979831719314,0.2500612,0.0107011,0.005001224,0.000214022,16.04,5.9322654326692e-05
38,0.685693423366978,0.2925855,0.011101,0.00585171,0.00022202,15.94,6.23827809581228e-05
39,0.667989899056712,0.3209443,0.0111116,0.006418886,0.000222232,16,6.23896291317215e-05
40,0.651687391934289,0.2793155,0.0112566,0.00558631,0.000225132,15.96,6.48801764457949e-05
41,0.636486089633644,0.2723019,0.0105472,0.005446038,0.000210944,16,5.90063100671736e-05
42,0.622683533471413,0.408455,0.0124631,0.0081691,0.000249262,15.92,6.3875898298979e-05
43,0.610166745476087,0.2954665,0.0137585,0.00590933,0.00027517,15.78,6.51189032565176e-05
44,0.598241346950783,0.2538153,0.0104154,0.005076306,0.000208308,15.88,6.09523418257582e-05
45,0.586636174980241,0.297268,0.0109129,0.00594536,0.000218258,15.82,6.39057402270581e-05
46,0.575954635285028,0.2638307,0.0104162,0.005276614,0.000208324,15.76,6.21782543594343e-05
47,0.566140730615937,0.2947187,0.0108029,0.005894374,0.000216058,15.72,6.09467591494369e-05
48,0.556435718907044,0.2987921,0.0109732,0.005975842,0.000219464,15.66,6.25857589078923e-05
49,0.546652882466253,0.2927817,0.0108993,0.005855634,0.000217986,15.62,6.3311050255234e-05
50,0.536678113304259,0.2732647,0.0108273,0.005465294,0.000216546,15.58,6.2059794431605e-05
